Genotype	CW	Fix	pop$	FID$
Z002E0147	19.8959543726919	1	NAMRIL	Z002
Z002E0148	10.0308969031913	1	NAMRIL	Z002
Z002E0149	20.9878293726894	1	NAMRIL	Z002
Z002E0150	15.0672137832481	1	NAMRIL	Z002
Z002E0151	16.199424852123	1	NAMRIL	Z002
Z002E0152	13.9304308186062	1	NAMRIL	Z002
Z002E0153	17.956845661243	1	NAMRIL	Z002
Z002E0154	18.7415793726902	1	NAMRIL	Z002
Z002E0155	18.6677808844638	1	NAMRIL	Z002
Z002E0156	18.5389420011568	1	NAMRIL	Z002
Z002E0157	16.7522043726879	1	NAMRIL	Z002
Z002E0158	17.8466402669414	1	NAMRIL	Z002
Z002E0159	16.4960384242755	1	NAMRIL	Z002
Z002E0160	20.1988291178131	1	NAMRIL	Z002
Z002E0161	19.6629100524742	1	NAMRIL	Z002
Z002E0162	13.7209417852984	1	NAMRIL	Z002
Z002E0163	20.9585283693559	1	NAMRIL	Z002
Z002E0164	15.8917880662275	1	NAMRIL	Z002
Z002E0165	14.6355339934455	1	NAMRIL	Z002
Z002E0166	16.8684101695469	1	NAMRIL	Z002
Z002E0167	17.5036142177985	1	NAMRIL	Z002
Z002E0168	16.2367880662286	1	NAMRIL	Z002
Z002E0169	16.7668938917759	1	NAMRIL	Z002
Z002E0170	14.632928562443	1	NAMRIL	Z002
Z002E0171	18.9880688383694	1	NAMRIL	Z002
Z002E0172	25.023114832099	1	NAMRIL	Z002
Z002E0173	15.8041114633809	1	NAMRIL	Z002
Z002E0174	17.6651435911827	1	NAMRIL	Z002
Z002E0175	22.8182321929955	1	NAMRIL	Z002
Z002E0176	13.0047043726895	1	NAMRIL	Z002
Z002E0177	28.359046068368	1	NAMRIL	Z002
Z002E0178	13.1378293726908	1	NAMRIL	Z002
Z002E0179	12.9991435911858	1	NAMRIL	Z002
Z002E0180	15.1128293726883	1	NAMRIL	Z002
Z002E0181	20.2303594947961	1	NAMRIL	Z002
Z002E0182	26.4597803216395	1	NAMRIL	Z002
Z002E0183	18.2332166376553	1	NAMRIL	Z002
Z002E0184	10.9522043726936	1	NAMRIL	Z002
Z002E0185	11.9552808844625	1	NAMRIL	Z002
Z002E0186	14.7639309233664	1	NAMRIL	Z002
Z002E0187	19.6949959763072	1	NAMRIL	Z002
Z002E0188	13.9894475511306	1	NAMRIL	Z002
Z002E0189	21.4472142767234	1	NAMRIL	Z002
Z002E0190	13.007780884464	1	NAMRIL	Z002
Z002E0191	18.2572043726871	1	NAMRIL	Z002
Z002E0192	15.2323911373586	1	NAMRIL	Z002
Z002E0193	11.6243456163922	1	NAMRIL	Z002
Z002E0194	12.4678293726914	1	NAMRIL	Z002
Z002E0195	17.1644475511298	1	NAMRIL	Z002
Z002E0196	27.4060737805136	1	NAMRIL	Z002
Z002E0197	12.1068601852549	1	NAMRIL	Z002
Z002E0198	15.2897043726886	1	NAMRIL	Z002
Z002E0199	12.6546452090855	1	NAMRIL	Z002
Z002E0200	13.9059259812245	1	NAMRIL	Z002
Z002E0201	22.7098350539425	1	NAMRIL	Z002
Z002E0202	19.2114291201867	1	NAMRIL	Z002
Z002E0207	11.7543125029243	1	NAMRIL	Z002
Z002E0217	13.0043125029266	1	NAMRIL	Z002
Z002E0271	23.2543125029166	1	NAMRIL	Z002
Z003E0001	21.8288427144966	1	NAMRIL	Z003
Z003E0002	18.3609719749577	1	NAMRIL	Z003
Z003E0003	16.9594475511304	1	NAMRIL	Z003
Z003E0004	20.0760737805162	1	NAMRIL	Z003
Z003E0005	15.2975023519413	1	NAMRIL	Z003
Z003E0006	19.2645282276132	1	NAMRIL	Z003
Z003E0007	18.9498456612486	1	NAMRIL	Z003
Z003E0008	20.0115098541637	1	NAMRIL	Z003
Z003E0009	20.5547006601064	1	NAMRIL	Z003
Z003E0010	20.0969248521218	1	NAMRIL	Z003
Z003E0011	22.110971974961	1	NAMRIL	Z003
Z003E0012	22.4738291178131	1	NAMRIL	Z003
Z003E0013	16.0376514241928	1	NAMRIL	Z003
Z003E0014	19.9195434035321	1	NAMRIL	Z003
Z003E0015	14.9714999910107	1	NAMRIL	Z003
Z003E0016	10.5606449600189	1	NAMRIL	Z003
Z003E0017	17.2188673267778	1	NAMRIL	Z003
Z003E0018	26.777354552654	1	NAMRIL	Z003
Z003E0019	17.3880339934439	1	NAMRIL	Z003
Z003E0020	17.7559259812263	1	NAMRIL	Z003
Z003E0021	22.9403049227319	1	NAMRIL	Z003
Z003E0022	16.9437890009884	1	NAMRIL	Z003
Z003E0023	15.2892676417718	1	NAMRIL	Z003
Z003E0024	17.1954152202974	1	NAMRIL	Z003
Z003E0025	11.3797006601099	1	NAMRIL	Z003
Z003E0026	21.910025391342	1	NAMRIL	Z003
Z003E0027	10.1698456612458	1	NAMRIL	Z003
Z003E0028	15.4874745607722	1	NAMRIL	Z003
Z003E0029	24.5235209094284	1	NAMRIL	Z003
Z003E0030	11.9490549227256	1	NAMRIL	Z003
Z003E0031	20.8501084519655	1	NAMRIL	Z003
Z003E0032	13.1452676417716	1	NAMRIL	Z003
Z003E0033	18.5689309233677	1	NAMRIL	Z003
Z003E0034	16.1821435911852	1	NAMRIL	Z003
Z003E0035	14.5104101695463	1	NAMRIL	Z003
Z003E0036	22.1130339934439	1	NAMRIL	Z003
Z003E0037	20.1019032112288	1	NAMRIL	Z003
Z003E0038	14.7176979056918	1	NAMRIL	Z003
Z003E0039	14.5370818869636	1	NAMRIL	Z003
Z003E0040	20.0872676417761	1	NAMRIL	Z003
Z003E0041	17.2731064387721	1	NAMRIL	Z003
Z003E0042	13.0574745607751	1	NAMRIL	Z003
Z003E0043	22.7685167425946	1	NAMRIL	Z003
Z003E0044	20.4439366721825	1	NAMRIL	Z003
Z003E0045	20.6773545526536	1	NAMRIL	Z003
Z003E0046	21.779700660112	1	NAMRIL	Z003
Z003E0047	15.4769100524729	1	NAMRIL	Z003
Z003E0048	13.5287485536294	1	NAMRIL	Z003
Z003E0049	17.4450594398571	1	NAMRIL	Z003
Z003E0050	21.3876174969392	1	NAMRIL	Z003
Z003E0051	23.678614217796	1	NAMRIL	Z003
Z003E0052	22.163728950824	1	NAMRIL	Z003
Z003E0053	21.3774101695463	1	NAMRIL	Z003
Z003E0054	20.2704152203021	1	NAMRIL	Z003
Z003E0055	23.3591064387696	1	NAMRIL	Z003
Z003E0056	18.754700660108	1	NAMRIL	Z003
Z003E0057	20.0045818869677	1	NAMRIL	Z003
Z003E0058	12.1653293726895	1	NAMRIL	Z003
Z003E0059	21.3270992873573	1	NAMRIL	Z003
Z003E0060	24.2272006601107	1	NAMRIL	Z003
Z003E0061	19.5038291178151	1	NAMRIL	Z003
Z003E0062	13.9045818869621	1	NAMRIL	Z003
Z003E0063	17.9236142177972	1	NAMRIL	Z003
Z003E0064	27.4397603540864	1	NAMRIL	Z003
Z003E0065	22.4704101695444	1	NAMRIL	Z003
Z003E0066	21.0842137832454	1	NAMRIL	Z003
Z003E0067	24.8161889255143	1	NAMRIL	Z003
Z003E0068	12.3630339934414	1	NAMRIL	Z003
Z003E0069	20.6562718491063	1	NAMRIL	Z003
Z003E0070	28.3546494841433	1	NAMRIL	Z003
Z003E0071	24.1939344151839	1	NAMRIL	Z003
Z003E0072	11.4342137832492	1	NAMRIL	Z003
Z003E0073	18.1067880662261	1	NAMRIL	Z003
Z003E0074	13.2531064387742	1	NAMRIL	Z003
Z003E0075	14.8042751186318	1	NAMRIL	Z003
Z003E0076	19.3655975905123	1	NAMRIL	Z003
Z003E0077	16.1135050583657	1	NAMRIL	Z003
Z003E0078	21.6373545526556	1	NAMRIL	Z003
Z003E0079	20.8645282276115	1	NAMRIL	Z003
Z003E0080	17.9478615609445	1	NAMRIL	Z003
Z003E0081	17.409581886967	1	NAMRIL	Z003
Z003E0082	23.6504101695483	1	NAMRIL	Z003
Z003E0083	18.9241536291394	1	NAMRIL	Z003
Z003E0084	14.8365224389105	1	NAMRIL	Z003
Z003E0085	14.3463673267798	1	NAMRIL	Z003
Z003E0086	11.749447321963	1	NAMRIL	Z003
Z003E0087	11.0704101695475	1	NAMRIL	Z003
