Genotype	KRN	Fix	pop$	FID$
Z002E0196	14.621649154427	1	NAMRIL	Z002
Z002E0197	13.868438654076	1	NAMRIL	Z002
Z002E0198	18.1338376893769	1	NAMRIL	Z002
Z002E0199	14.9073634401422	1	NAMRIL	Z002
Z002E0200	13.4167603983265	1	NAMRIL	Z002
Z002E0201	17.3251037156312	1	NAMRIL	Z002
Z002E0202	13.6955429768802	1	NAMRIL	Z002
Z002E0207	11.181502845471	1	NAMRIL	Z002
Z002E0217	12.18150284547	1	NAMRIL	Z002
Z002E0271	19.1815028454691	1	NAMRIL	Z002
Z003E0001	15.4470973493881	1	NAMRIL	Z003
Z003E0002	13.073624712903	1	NAMRIL	Z003
Z003E0003	13.9660359260431	1	NAMRIL	Z003
Z003E0004	14.7645062972839	1	NAMRIL	Z003
Z003E0005	15.132702592708	1	NAMRIL	Z003
Z003E0006	12.5393033238025	1	NAMRIL	Z003
Z003E0007	16.8941998622016	1	NAMRIL	Z003
Z003E0008	12.4509178350912	1	NAMRIL	Z003
Z003E0009	14.1116735392516	1	NAMRIL	Z003
Z003E0010	13.6873147008047	1	NAMRIL	Z003
Z003E0011	13.3200804826699	1	NAMRIL	Z003
Z003E0012	16.5021961414736	1	NAMRIL	Z003
Z003E0013	12.5756611975924	1	NAMRIL	Z003
Z003E0014	14.8593389986176	1	NAMRIL	Z003
Z003E0015	11.8838376893815	1	NAMRIL	Z003
Z003E0016	13.3833245157986	1	NAMRIL	Z003
Z003E0017	12.5283402059182	1	NAMRIL	Z003
Z003E0018	13.7739032554692	1	NAMRIL	Z003
Z003E0019	13.3616735392529	1	NAMRIL	Z003
Z003E0020	15.6310461126147	1	NAMRIL	Z003
Z003E0021	13.365333496004	1	NAMRIL	Z003
Z003E0022	16.5375955185396	1	NAMRIL	Z003
Z003E0023	11.9360982836186	1	NAMRIL	Z003
Z003E0024	12.9723116908067	1	NAMRIL	Z003
Z003E0025	13.6116735392534	1	NAMRIL	Z003
Z003E0026	12.5126932929358	1	NAMRIL	Z003
Z003E0027	11.6039176965634	1	NAMRIL	Z003
Z003E0028	13.6229425421552	1	NAMRIL	Z003
Z003E0029	15.4280489393245	1	NAMRIL	Z003
Z003E0030	12.7403334960045	1	NAMRIL	Z003
Z003E0031	14.2799920682654	1	NAMRIL	Z003
Z003E0032	14.1360982836181	1	NAMRIL	Z003
Z003E0033	13.4787920115693	1	NAMRIL	Z003
Z003E0034	17.2808227071441	1	NAMRIL	Z003
Z003E0035	12.9033325017515	1	NAMRIL	Z003
Z003E0036	15.1950068725863	1	NAMRIL	Z003
Z003E0037	14.984171238511	1	NAMRIL	Z003
Z003E0038	15.0685670525043	1	NAMRIL	Z003
Z003E0039	11.8889783574736	1	NAMRIL	Z003
Z003E0040	12.7360982836164	1	NAMRIL	Z003
Z003E0041	13.1039176965641	1	NAMRIL	Z003
Z003E0042	13.922942542158	1	NAMRIL	Z003
Z003E0043	15.0291379697621	1	NAMRIL	Z003
Z003E0044	14.4376837022363	1	NAMRIL	Z003
Z003E0045	15.0596175411837	1	NAMRIL	Z003
Z003E0046	14.1950068725861	1	NAMRIL	Z003
Z003E0047	17.2138099026039	1	NAMRIL	Z003
Z003E0048	15.0556450241416	1	NAMRIL	Z003
Z003E0049	12.5968866668884	1	NAMRIL	Z003
Z003E0050	15.1984569527964	1	NAMRIL	Z003
Z003E0051	14.2160359260449	1	NAMRIL	Z003
Z003E0052	15.7555426363648	1	NAMRIL	Z003
Z003E0053	14.2033325017524	1	NAMRIL	Z003
Z003E0054	14.4622003176857	1	NAMRIL	Z003
Z003E0055	13.2285673658986	1	NAMRIL	Z003
Z003E0056	15.111673539251	1	NAMRIL	Z003
Z003E0057	12.5556450241442	1	NAMRIL	Z003
Z003E0058	12.5359291644621	1	NAMRIL	Z003
Z003E0059	13.7289176965656	1	NAMRIL	Z003
Z003E0060	15.1116735392532	1	NAMRIL	Z003
Z003E0061	15.2879104271893	1	NAMRIL	Z003
Z003E0062	12.462200317685	1	NAMRIL	Z003
Z003E0063	11.1138099026044	1	NAMRIL	Z003
Z003E0064	14.1270283813682	1	NAMRIL	Z003
Z003E0065	15.1234484880842	1	NAMRIL	Z003
Z003E0066	15.3885750384555	1	NAMRIL	Z003
Z003E0067	14.1443883521945	1	NAMRIL	Z003
Z003E0068	14.528340205918	1	NAMRIL	Z003
Z003E0069	12.1200804826697	1	NAMRIL	Z003
Z003E0070	17.1324648149976	1	NAMRIL	Z003
Z003E0071	16.122560301281	1	NAMRIL	Z003
Z003E0072	11.0968866668891	1	NAMRIL	Z003
Z003E0073	15.2645062972839	1	NAMRIL	Z003
Z003E0074	11.5285673658987	1	NAMRIL	Z003
Z003E0075	14.9559098664181	1	NAMRIL	Z003
Z003E0076	16.4787920115686	1	NAMRIL	Z003
Z003E0077	15.1431914430023	1	NAMRIL	Z003
Z003E0078	14.1310461126116	1	NAMRIL	Z003
Z003E0079	15.2059699904701	1	NAMRIL	Z003
Z003E0080	13.7059699904686	1	NAMRIL	Z003
Z003E0081	16.0556450241421	1	NAMRIL	Z003
Z003E0082	13.1153334960055	1	NAMRIL	Z003
Z003E0083	16.4402723849989	1	NAMRIL	Z003
Z003E0084	14.5473641339406	1	NAMRIL	Z003
Z003E0085	13.8616735392527	1	NAMRIL	Z003
Z003E0086	12.6555878429969	1	NAMRIL	Z003
Z003E0087	12.9033325017484	1	NAMRIL	Z003
