Genotype	KC	Fix	pop$	FID$
Z002E0199	373.850710307568	1	NAMRIL	Z002
Z002E0200	302.148519022614	1	NAMRIL	Z002
Z002E0201	398.753016418849	1	NAMRIL	Z002
Z002E0202	299.15573701261	1	NAMRIL	Z002
Z002E0207	231.627457253006	1	NAMRIL	Z002
Z002E0217	198.434144818337	1	NAMRIL	Z002
Z002E0271	513.746397782785	1	NAMRIL	Z002
Z003E0001	280.454569813954	1	NAMRIL	Z003
Z003E0002	187.341031438763	1	NAMRIL	Z003
Z003E0003	250.88466127276	1	NAMRIL	Z003
Z003E0004	313.263586966866	1	NAMRIL	Z003
Z003E0005	208.425887525852	1	NAMRIL	Z003
Z003E0006	203.930464554359	1	NAMRIL	Z003
Z003E0007	333.154664183293	1	NAMRIL	Z003
Z003E0008	194.097391990061	1	NAMRIL	Z003
Z003E0009	253.655010021269	1	NAMRIL	Z003
Z003E0010	170.859595935723	1	NAMRIL	Z003
Z003E0011	198.261948206304	1	NAMRIL	Z003
Z003E0012	448.467644163402	1	NAMRIL	Z003
Z003E0013	163.915170610113	1	NAMRIL	Z003
Z003E0014	267.529231095377	1	NAMRIL	Z003
Z003E0015	178.911646106961	1	NAMRIL	Z003
Z003E0016	206.947563127719	1	NAMRIL	Z003
Z003E0017	277.697251922693	1	NAMRIL	Z003
Z003E0018	191.90242905986	1	NAMRIL	Z003
Z003E0019	223.237022504054	1	NAMRIL	Z003
Z003E0020	234.181283094837	1	NAMRIL	Z003
Z003E0021	133.050726472076	1	NAMRIL	Z003
Z003E0022	225.518531425656	1	NAMRIL	Z003
Z003E0023	232.406802567562	1	NAMRIL	Z003
Z003E0024	249.00510077729	1	NAMRIL	Z003
Z003E0025	258.572901817913	1	NAMRIL	Z003
Z003E0026	211.212757462833	1	NAMRIL	Z003
Z003E0027	54.3852943031192	1	NAMRIL	Z003
Z003E0028	315.41732473458	1	NAMRIL	Z003
Z003E0029	276.368387906854	1	NAMRIL	Z003
Z003E0030	301.456942277076	1	NAMRIL	Z003
Z003E0031	239.826225382947	1	NAMRIL	Z003
Z003E0032	153.850328136074	1	NAMRIL	Z003
Z003E0033	215.532015204864	1	NAMRIL	Z003
Z003E0034	290.294235663143	1	NAMRIL	Z003
Z003E0035	199.869165529757	1	NAMRIL	Z003
Z003E0036	230.501949222165	1	NAMRIL	Z003
Z003E0037	246.170519006213	1	NAMRIL	Z003
Z003E0038	286.881729446077	1	NAMRIL	Z003
Z003E0039	192.32728196125	1	NAMRIL	Z003
Z003E0040	165.953906790866	1	NAMRIL	Z003
Z003E0041	199.118764702552	1	NAMRIL	Z003
Z003E0042	315.756846286375	1	NAMRIL	Z003
Z003E0043	186.54307409827	1	NAMRIL	Z003
Z003E0044	224.797295894535	1	NAMRIL	Z003
Z003E0045	218.745106810265	1	NAMRIL	Z003
Z003E0046	214.218496008054	1	NAMRIL	Z003
Z003E0047	358.809910818458	1	NAMRIL	Z003
Z003E0048	295.327494783042	1	NAMRIL	Z003
Z003E0049	266.924501767944	1	NAMRIL	Z003
Z003E0050	349.629129716999	1	NAMRIL	Z003
Z003E0051	184.510348851586	1	NAMRIL	Z003
Z003E0052	150.138626951246	1	NAMRIL	Z003
Z003E0053	225.938785255834	1	NAMRIL	Z003
Z003E0054	250.042648353644	1	NAMRIL	Z003
Z003E0055	175.060246059607	1	NAMRIL	Z003
Z003E0056	308.178403198135	1	NAMRIL	Z003
Z003E0057	243.880174064663	1	NAMRIL	Z003
Z003E0058	241.430059665413	1	NAMRIL	Z003
Z003E0059	198.33425262323	1	NAMRIL	Z003
Z003E0060	318.186944926815	1	NAMRIL	Z003
Z003E0061	230.762837980025	1	NAMRIL	Z003
Z003E0062	232.543708454644	1	NAMRIL	Z003
Z003E0063	300.9223558015	1	NAMRIL	Z003
Z003E0064	262.978960125484	1	NAMRIL	Z003
Z003E0065	345.626106156963	1	NAMRIL	Z003
Z003E0066	204.381671056711	1	NAMRIL	Z003
Z003E0067	280.156241675843	1	NAMRIL	Z003
Z003E0068	271.700250721375	1	NAMRIL	Z003
Z003E0069	214.529406237898	1	NAMRIL	Z003
Z003E0070	307.598595768016	1	NAMRIL	Z003
Z003E0071	215.271955963085	1	NAMRIL	Z003
Z003E0072	169.626663400112	1	NAMRIL	Z003
Z003E0073	316.664425804708	1	NAMRIL	Z003
Z003E0074	232.568474458757	1	NAMRIL	Z003
Z003E0075	157.735379162792	1	NAMRIL	Z003
Z003E0076	267.714732077092	1	NAMRIL	Z003
Z003E0077	227.85453646167	1	NAMRIL	Z003
Z003E0078	284.539234019198	1	NAMRIL	Z003
Z003E0079	272.675155068991	1	NAMRIL	Z003
Z003E0080	273.491335842856	1	NAMRIL	Z003
Z003E0081	198.221811045045	1	NAMRIL	Z003
Z003E0082	212.553759247861	1	NAMRIL	Z003
Z003E0083	305.422388826948	1	NAMRIL	Z003
Z003E0084	117.033260786878	1	NAMRIL	Z003
Z003E0085	215.809674215191	1	NAMRIL	Z003
Z003E0086	245.526766748623	1	NAMRIL	Z003
Z003E0087	110.863001195138	1	NAMRIL	Z003
Z003E0088	197.399001896322	1	NAMRIL	Z003
Z003E0089	208.854978884605	1	NAMRIL	Z003
Z003E0090	379.193809086645	1	NAMRIL	Z003
Z003E0091	302.253855959953	1	NAMRIL	Z003
Z003E0092	264.999424449973	1	NAMRIL	Z003
Z003E0093	320.854972744307	1	NAMRIL	Z003
Z003E0094	171.148382182388	1	NAMRIL	Z003
Z003E0095	207.148486578818	1	NAMRIL	Z003
Z003E0096	317.63448600148	1	NAMRIL	Z003
Z003E0097	271.403611682841	1	NAMRIL	Z003
Z003E0098	270.594399689391	1	NAMRIL	Z003
Z003E0099	103.180953507776	1	NAMRIL	Z003
Z003E0100	141.382653803577	1	NAMRIL	Z003
Z003E0101	208.330770794975	1	NAMRIL	Z003
Z003E0102	205.365831795893	1	NAMRIL	Z003
Z003E0103	189.714506444833	1	NAMRIL	Z003
