Genotype	TKW	Fix	pop$	FID$
Z002E0185	60.4579012064151	1	NAMRIL	Z002
Z002E0186	70.548824354567	1	NAMRIL	Z002
Z002E0187	68.3181054587926	1	NAMRIL	Z002
Z002E0188	54.130401206411	1	NAMRIL	Z002
Z002E0189	79.6987985361539	1	NAMRIL	Z002
Z002E0190	73.7487345397566	1	NAMRIL	Z002
Z002E0191	73.3360991964965	1	NAMRIL	Z002
Z002E0192	58.6030857008971	1	NAMRIL	Z002
Z002E0193	49.6811395187399	1	NAMRIL	Z002
Z002E0194	67.1575575302406	1	NAMRIL	Z002
Z002E0195	48.8005042595726	1	NAMRIL	Z002
Z002E0196	94.1823957831131	1	NAMRIL	Z002
Z002E0197	51.5367067142465	1	NAMRIL	Z002
Z002E0198	83.5317241965043	1	NAMRIL	Z002
Z002E0199	69.6238243545753	1	NAMRIL	Z002
Z002E0200	71.198213352925	1	NAMRIL	Z002
Z002E0201	87.7815315165185	1	NAMRIL	Z002
Z002E0202	72.6014508352519	1	NAMRIL	Z002
Z002E0207	54.6532197413662	1	NAMRIL	Z002
Z002E0217	64.9032197413627	1	NAMRIL	Z002
Z002E0271	88.1532197413835	1	NAMRIL	Z002
Z003E0001	65.2208748876499	1	NAMRIL	Z003
Z003E0002	45.8284085105557	1	NAMRIL	Z003
Z003E0003	61.7314788965177	1	NAMRIL	Z003
Z003E0004	77.3309672117101	1	NAMRIL	Z003
Z003E0005	52.0023957831399	1	NAMRIL	Z003
Z003E0006	57.2147208822398	1	NAMRIL	Z003
Z003E0007	66.0282982230708	1	NAMRIL	Z003
Z003E0008	40.9917510240814	1	NAMRIL	Z003
Z003E0009	65.2772584567681	1	NAMRIL	Z003
Z003E0010	48.0385750214855	1	NAMRIL	Z003
Z003E0011	62.5913805494982	1	NAMRIL	Z003
Z003E0012	97.3827757612007	1	NAMRIL	Z003
Z003E0013	47.2136435926297	1	NAMRIL	Z003
Z003E0014	61.869918618356	1	NAMRIL	Z003
Z003E0015	42.9464020438399	1	NAMRIL	Z003
Z003E0016	39.4498521946567	1	NAMRIL	Z003
Z003E0017	54.9089251234417	1	NAMRIL	Z003
Z003E0018	48.6760704957834	1	NAMRIL	Z003
Z003E0019	50.9522584567634	1	NAMRIL	Z003
Z003E0020	49.7189276386424	1	NAMRIL	Z003
Z003E0021	25.2832318523421	1	NAMRIL	Z003
Z003E0022	62.2763081500729	1	NAMRIL	Z003
Z003E0023	53.1799744324311	1	NAMRIL	Z003
Z003E0024	54.4035350978505	1	NAMRIL	Z003
Z003E0025	72.7022584567738	1	NAMRIL	Z003
Z003E0026	55.2357901351145	1	NAMRIL	Z003
Z003E0027	18.8582982230602	1	NAMRIL	Z003
Z003E0028	74.0938555182608	1	NAMRIL	Z003
Z003E0029	67.5940693582082	1	NAMRIL	Z003
Z003E0030	57.7601951000842	1	NAMRIL	Z003
Z003E0031	56.3800723418495	1	NAMRIL	Z003
Z003E0032	34.85935651152	1	NAMRIL	Z003
Z003E0033	57.4523957831518	1	NAMRIL	Z003
Z003E0034	71.4341992607001	1	NAMRIL	Z003
Z003E0035	44.6684501278206	1	NAMRIL	Z003
Z003E0036	60.8067075969407	1	NAMRIL	Z003
Z003E0037	51.7072248329439	1	NAMRIL	Z003
Z003E0038	62.6333163619203	1	NAMRIL	Z003
Z003E0039	50.7368684311837	1	NAMRIL	Z003
Z003E0040	34.0256065115069	1	NAMRIL	Z003
Z003E0041	44.5957372541342	1	NAMRIL	Z003
Z003E0042	67.7568374994184	1	NAMRIL	Z003
Z003E0043	46.2722208822407	1	NAMRIL	Z003
Z003E0044	55.3374240504852	1	NAMRIL	Z003
Z003E0045	60.4974990672121	1	NAMRIL	Z003
Z003E0046	59.3968374994273	1	NAMRIL	Z003
Z003E0047	61.9803102592999	1	NAMRIL	Z003
Z003E0048	53.2168374994209	1	NAMRIL	Z003
Z003E0049	60.6938555182675	1	NAMRIL	Z003
Z003E0050	71.9929391186563	1	NAMRIL	Z003
Z003E0051	43.8804257643924	1	NAMRIL	Z003
Z003E0052	39.8202623114823	1	NAMRIL	Z003
Z003E0053	55.3711915498788	1	NAMRIL	Z003
Z003E0054	56.9117452295127	1	NAMRIL	Z003
Z003E0055	51.7174240504757	1	NAMRIL	Z003
Z003E0056	54.1619142950919	1	NAMRIL	Z003
Z003E0057	50.7817452295138	1	NAMRIL	Z003
Z003E0058	53.0319686880221	1	NAMRIL	Z003
Z003E0059	49.3530319679599	1	NAMRIL	Z003
Z003E0060	59.0914251234355	1	NAMRIL	Z003
Z003E0061	47.2963471897805	1	NAMRIL	Z003
Z003E0062	46.5397452295086	1	NAMRIL	Z003
Z003E0063	64.3237275107588	1	NAMRIL	Z003
Z003E0064	86.2143676900893	1	NAMRIL	Z003
Z003E0065	88.3949415498872	1	NAMRIL	Z003
Z003E0066	43.9242717589792	1	NAMRIL	Z003
Z003E0067	48.6730148985065	1	NAMRIL	Z003
Z003E0068	50.9105917901036	1	NAMRIL	Z003
Z003E0069	61.5891069907936	1	NAMRIL	Z003
Z003E0070	64.3962485977228	1	NAMRIL	Z003
Z003E0071	59.2302609493575	1	NAMRIL	Z003
Z003E0072	37.6019142950952	1	NAMRIL	Z003
Z003E0073	58.2731100688519	1	NAMRIL	Z003
Z003E0074	59.2932214273967	1	NAMRIL	Z003
Z003E0075	47.5776582578879	1	NAMRIL	Z003
Z003E0076	66.1442416874778	1	NAMRIL	Z003
Z003E0077	48.1127786491271	1	NAMRIL	Z003
Z003E0078	52.7325783967535	1	NAMRIL	Z003
Z003E0079	55.5715456215514	1	NAMRIL	Z003
Z003E0080	63.3157218488949	1	NAMRIL	Z003
Z003E0081	46.2855788031302	1	NAMRIL	Z003
Z003E0082	52.2314599260107	1	NAMRIL	Z003
