p2,p1,Genotype,value,trait,pop,FID,p1t,p2t,HPH,pHPH,MPH,pMPH
Z017,Z008,Z008xZ017,175.444444444447,TKW,Diallel,Z000,17.2159449471195,64.814498683934,110.629945760513,1.7068703454762,158.228499497327,9.19081119179587
Z017,Z012,Z012xZ017,226.455555555558,TKW,Diallel,Z000,28.8217097664763,64.814498683934,161.641056871624,2.49390275561432,197.633845789082,6.85711733933834
Z017,Z011,Z011xZ017,132.366666666668,TKW,Diallel,Z000,30.8921176570358,64.814498683934,67.552167982734,1.04223853234058,101.474549009632,3.28480391458437
Z017,Z006,Z006xZ017,216.980000000003,TKW,Diallel,Z000,32.629713343418,64.814498683934,152.165501316069,2.34770775684156,184.350286656585,5.64976727549989
Z017,Z007,Z007xZ017,220.706666666669,TKW,Diallel,Z000,17.5391459962843,64.814498683934,155.892167982735,2.40520518013938,203.167520670385,11.5836609555235
Z017,Z010,Z010xZ017,171.46666666667,TKW,Diallel,Z000,11.457793907388,64.814498683934,106.652167982736,1.64549861756738,160.008872759282,13.9650681494723
Z017,Z002,Z002xZ017,234.892222222224,TKW,Diallel,Z000,41.51133438328,64.814498683934,170.07772353829,2.62406910477961,193.380887838944,4.65850810897648
Z017,Z005,Z005xZ017,283.321111111112,TKW,Diallel,Z000,13.9825122788476,64.814498683934,218.506612427178,3.37126132059925,269.338598832264,19.2625326165251
Z017,Z009,Z009xZ017,204.640000000002,TKW,Diallel,Z000,18.0771707685547,64.814498683934,139.825501316068,2.15731825679811,186.562829231447,10.3203555257648
Z017,Z016,Z016xZ017,196.942222222224,TKW,Diallel,Z000,54.8086477524283,64.814498683934,132.12772353829,2.03855196323599,142.133574469796,2.593269133583
Z018,Z007,Z007xZ018,121.574444444444,TKW,Diallel,Z000,17.5391459962843,35.2499186709276,86.3245257735164,2.44892836716564,104.03529844816,5.93160570475893
Z018,Z006,Z006xZ018,166.503333333334,TKW,Diallel,Z000,32.629713343418,35.2499186709276,131.253414662406,3.72350971608504,133.873619989916,4.10281324205751
Z018,Z005,Z005xZ018,107.201111111117,TKW,Diallel,Z000,13.9825122788476,35.2499186709276,71.9511924401894,2.04117328927432,93.2185988322694,6.66679899672166
