Barcode,Cob_length (mm),Cob_Diameter (mm),Cob_Weight (g),Bag,I,Note,,
11-J3389-23 OP,133.54,22.12,13.51,7,SR,,,
11-J3359-22 OP,146.38,22.34,15.91,7,SR,,,
11-J3241-22 OP,148.63,25.26,16.35,7,SR,,,
11-J3238-21 OP,161.8,25.95,29.56,7,SR,,,
11-J3390-23 OP,124.78,23.73,20.76,7,SR,,,
11-J3393-21 OP,126.26,24.77,14.97,7,SR,,,
11-J3395-23 OP,105.62,24.4,12.77,7,SR,,,
11-J3358-22 OP,141.43,22.61,15.78,7,SR,,,
11-J3359-21 OP,159.35,22.38,19.88,7,SR,,,
11-J3397-21 OP,143.38,20.84,11.02,7,SR,,,
11-J3235-21 OP,159.64,24.5,23.58,7,SR,,,
11-J3312-21 OP,122.87,21.92,11.32,7,SR,,,
11-J3395-21 OP,90.18,23.65,9.76,7,SR,,,
11-J3400-22 OP,169.23,119.87,15.78,7,SR,,,
11-J3356-22 OP,186.27,24.4,24.2,7,SR,,,
11-J3240-21 OP,147.2,24.19,18.61,7,SR,,,
11-J3241-23 OP,136.33,24.32,13.53,7,SR,,,
11-J3390-22 OP,130.57,24.98,17.51,7,SR,,,
11-J3311-23 OP,114.91,25.72,19.77,7,SR,,,
11-J3350-21 OP,194.73,23.95,25.12,7,SR,,,
11-J3396-21 OP,126.55,24.12,15.92,7,SR,,,
11-J3398-21 OP,62.67,24.68,5.63,7,SR,,,
11-J3400-23 OP,183.32,18.53,16.52,7,SR,,,
11-J3236-23 OP,173.49,16.97,9.48,7,SR,,,
11-J3397-22 OP,99,20.31,7.01,7,SR,,,
11-J3405-22 OP,127.1,22.9,16.95,7,SR,,,
11-J3339-21 OP,102.51,24.75,8.61,7,SR,,,
11-J3408-21 OP,131.38,25.15,15.64,7,SR,,,
11-J3241-21 OP,126.37,24.47,14.43,7,SR,,,
11-J3240-22 OP,155.27,23.8,19.17,7,SR,,,
11-J3397-23 OP,89.25,23.36,11.38,7,SR,,,
11-J3313-22 OP,143.86,23.42,19.51,7,SR,,,
11-J3351-21 OP,177.3,30.42,33.39,7,SR,,,
11-J3237-23 OP,138.73,23.22,12.66,7,SR,,,
11-J3407-22 OP,147.65,23.83,24.1,7,SR,,,
11-J3310-23 OP,111.56,24.87,11.1,7,SR,,,
11-J3401-22 OP,93.47,25.8,15.39,7,SR,,,
11-J3236-22 OP,138.93,17.92,9.29,7,SR,,,
11-J3403-22 OP,202.32,22.75,19.85,7,SR,,,
11-J3235-22 OP,136.73,26.62,19.78,7,SR,,,
11-J3239-23 OP,147.63,24.31,13.58,7,SR,,,
11-J3350-22 OP,201.22,22.81,27.65,7,SR,,,
11-J3393-23 OP,132.38,23.35,15.63,7,SR,,,
11-J3396-23 OP,145.52,25.24,19.55,7,SR,,,
11-J3393-22 OP,116.77,22.24,11.66,7,SR,,,
11-J3400-21 OP,172.14,18.43,14.11,7,SR,,,
11-J3237-21 OP,177.95,25.31,20.84,7,SR,,,
11-J3402-23 OP,118,24.84,17.07,7,SR,,,
11-J3349-23 OP,142.02,24.72,22.11,7,SR,,,
11-J3235-23 OP,150.44,27.67,19.97,7,SR,,,
11-J3340-23 OP,127.5,20.98,8.43,7,SR,,,
11-J3337-23 OP,156.15,24.21,18.03,7,SR,,,
11-J3406-23 OP,125.15,24.11,16.83,7,SR,,,
11-J3238-23 OP,170.79,30.15,31.06,7,SR,,,
11-J3351-23 OP,158.3,28.56,24.63,7,SR,,,
11-J3406-21 OP,126.62,24.45,16.81,7,SR,,,
11-J3399-21 OP,151.39,27.9,22.65,7,SR,,,
11-J3313-21 OP,148.36,22.48,21.1,7,SR,,,
11-J3337-22 OP,162.89,19.81,9.1,7,SR,,,
11-J3404-22 OP,130.7,26.2,24.77,7,SR,,,
11-J3391-23 OP,122.11,23.41,15.83,7,SR,,,
11-J3236-21 OP,122.89,16.91,6.21,7,SR,,,
11-J3340-22 OP,145.75,21.51,11.19,7,SR,,,
11-J3351-22 OP,154.33,26.41,24.48,7,SR,,,
11-J3389-22 OP,126.87,19.61,10.18,7,SR,,,
11-J3401-23 OP,129.84,22.6,14.38,7,SR,,,
11-J3239-21 OP,149.88,24.26,18.7,7,SR,,,
11-J3401-21 OP,141.68,25.49,25.66,7,SR,,,
11-J3239-22 OP,140.83,21.44,11.1,7,SR,,,
11-J3348-22 OP,146.45,22.96,19.36,7,SR,,,
11-J3349-21 OP,136.59,25.06,20.84,7,SR,,,
11-J3311-22 OP,122.8,25.78,21.46,7,SR,,,
11-J3358-23 OP,128.72,25.18,19.33,7,SR,,,
11-J3352-23 OP,146.06,27.01,21.8,7,SR,,,
11-J3357-21 OP,137.53,23.18,14.02,7,SR,,,
11-J3408-23 OP,137.95,24.68,18.61,7,SR,,,
11-J3238-22 OP,155.02,26.9,26.85,7,SR,,,
11-J3240-23 OP,132.98,24.67,18.33,7,SR,,,
11-J3310-22 OP,157.53,28.39,26.08,7,SR,,,
11-J3311-21 OP,126.17,25.87,23.74,7,SR,,,
11-J3357-23 OP,145.96,22.7,16.75,7,SR,,,
11-J3404-21 OP,172.27,23.51,33.59,7,SR,,,
11-J3396-22 OP,134.87,24.88,18.22,7,SR,,,
11-J3407-23 OP,115.65,26.19,16.66,7,SR,,,
11-J3312-23 OP,127.18,22.33,12.24,7,SR,,,
11-J3338-22 OP,176.44,22.05,18.61,7,SR,,,
11-J3352-22 OP,146.08,28.73,26.12,7,SR,,,
11-J3338-21 OP,176.5,22.79,17.2,7,SR,,,
11-J3349-22 OP,139.78,23.55,19.89,7,SR,,,
11-J3309-21 OP,133.15,20.52,11.25,7,SR,,,
11-J3402-21 OP,165.14,26.8,30.5,7,SR,,,
11-J3237-22 OP,108.49,25.91,13.83,7,SR,,,
